code,year,plot ,quad,trt,tree,spp,mass
1,2007,1,A,UN,T,BOX,1.451
2,2007,1,A,UN,T,ER,0.291
3,2007,1,A,UN,T,EV,2.798
4,2007,1,A,UN,T,F15,0.228
5,2007,1,A,UN,T,G2,0.113
6,2007,1,A,UN,T,HPASP,3.792
7,2007,1,A,UN,T,J,0.191
8,2007,1,A,UN,T,MERC,0.007
9,2007,1,A,UN,T,PAN,2.285
10,2007,1,A,UN,T,PL,0.231
11,2007,1,A,UN,T,PT,13.512
12,2007,1,A,UN,T,S,2.929
13,2007,1,A,UN,T,S2,0.079
14,2007,1,B,UN,T,EV,0.575
15,2007,1,B,UN,T,F17,0.025
16,2007,1,B,UN,T,G1 ,0.01
17,2007,1,B,UN,T,G5,0.263
18,2007,1,B,UN,T,G7,0.041
19,2007,1,B,UN,T,HPASP,1.26
20,2007,1,B,UN,T,PAN,3.25
21,2007,1,B,UN,T,PASP,0.36
22,2007,1,B,UN,T,PT,11.87
23,2007,1,B,UN,T,S,0.75
24,2007,1,B,UN,T,V,0.286
25,2007,1,C,UN,T,BOX,2.075
26,2007,1,C,UN,T,EV,1.925
27,2007,1,C,UN,T,F18,0.622
28,2007,1,C,UN,T,HPASP,2.691
29,2007,1,C,UN,T,J,0.891
30,2007,1,C,UN,T,MERC,0.049
31,2007,1,C,UN,T,PAN,0.556
32,2007,1,C,UN,T,PASP,3.559
33,2007,1,C,UN,T,PC,0.096
34,2007,1,C,UN,T,PT,9.942
35,2007,1,C,UN,T,S,0.927
36,2007,1,C,UN,T,V,0.792
37,2007,1,D,UN,T,BOX,0.761
38,2007,1,D,UN,T,EV,0.967
39,2007,1,D,UN,T,F25,0.459
40,2007,1,D,UN,T,G1,0.038
41,2007,1,D,UN,T,G12,0.082
42,2007,1,D,UN,T,G2,0.111
43,2007,1,D,UN,T,G5,0.236
44,2007,1,D,UN,T,HPASP,0.462
45,2007,1,D,UN,T,J,0.119
46,2007,1,D,UN,T,LA,0.111
47,2007,1,D,UN,T,PAN,3.705
48,2007,1,D,UN,T,PASP,0.996
49,2007,1,D,UN,T,PL,0.008
50,2007,1,D,UN,T,PT,13.33
51,2007,1,D,UN,T,S,4.422
52,2007,1,D,UN,T,SOLAN,0.266
53,2007,1,D,UN,T,V,0.043
54,2007,1,E,UN,T,EV,0.427
55,2007,1,E,UN,T,G12,0.098
56,2007,1,E,UN,T,G2,0.198
57,2007,1,E,UN,T,HPASP,0.812
58,2007,1,E,UN,T,J,1.539
59,2007,1,E,UN,T,PAN,1.142
60,2007,1,E,UN,T,PASP,0.112
61,2007,1,E,UN,T,PT,20.25
62,2007,1,E,UN,T,S,4.914
63,2007,1,E,UN,T,V,0.222
64,2007,1,F,UN,T,BOX,0.56
65,2007,1,F,UN,T,ER,0.072
66,2007,1,F,UN,T,EV,0.769
67,2007,1,F,UN,T,G5,0.082
68,2007,1,F,UN,T,HAST,6.263
69,2007,1,F,UN,T,HPASP,1.68
70,2007,1,F,UN,T,J,0.943
71,2007,1,F,UN,T,MERC,0.113
72,2007,1,F,UN,T,PAN,1.271
73,2007,1,F,UN,T,PT,28.79
74,2007,1,F,UN,T,PV,0.641
75,2007,1,F,UN,T,S,2.706
76,2007,1,F,UN,T,S2,0.314
77,2007,1,F,UN,T,V,0.146
78,2007,2,A,UN,T,API,0.019
79,2007,2,A,UN,T,BOX,0.416
80,2007,2,A,UN,T,EV,1.654
81,2007,2,A,UN,T,F17,0.009
82,2007,2,A,UN,T,F3,0.013
83,2007,2,A,UN,T,G1,1.192
84,2007,2,A,UN,T,G5,0.213
85,2007,2,A,UN,T,LA,1.032
86,2007,2,A,UN,T,MERC,0.024
87,2007,2,A,UN,T,PAN,8.86
88,2007,2,A,UN,T,PASP,9.099
89,2007,2,A,UN,T,PC,1.26
90,2007,2,A,UN,T,PL,0.889
91,2007,2,A,UN,T,PV,1.532
92,2007,2,A,UN,T,S,3.193
93,2007,2,A,UN,T,SEN,2.242
94,2007,2,A,UN,T,STJ,0.02
95,2007,2,A,UN,T,SYC,0.086
96,2007,2,A,UN,T,V,0.371
97,2007,2,B,UN,T,API,0.006
98,2007,2,B,UN,T,AST,2.345
99,2007,2,B,UN,T,BOX,2.923
100,2007,2,B,UN,T,F1,0.102
101,2007,2,B,UN,T,F17,0.01
102,2007,2,B,UN,T,G12,0.197
103,2007,2,B,UN,T,G2,0.063
104,2007,2,B,UN,T,HPASP,0.252
105,2007,2,B,UN,T,J,0.784
106,2007,2,B,UN,T,PAN,12.054
107,2007,2,B,UN,T,PASP,3.917
108,2007,2,B,UN,T,PC,0.527
109,2007,2,B,UN,T,PL,0.073
110,2007,2,B,UN,T,PT,4.173
111,2007,2,B,UN,T,PV,1.618
112,2007,2,B,UN,T,S,3.997
113,2007,2,B,UN,T,V,1.09
114,2007,2,C,UN,T,API,1.03
115,2007,2,C,UN,T,BOX,0.577
116,2007,2,C,UN,T,EV,8.28
117,2007,2,C,UN,T,F14,0.668
118,2007,2,C,UN,T,F17,0.037
119,2007,2,C,UN,T,F3,0.068
120,2007,2,C,UN,T,F4,0.084
121,2007,2,C,UN,T,G5,0.073
122,2007,2,C,UN,T,J,0.271
123,2007,2,C,UN,T,PAN,7.39
124,2007,2,C,UN,T,PASP,13.24
125,2007,2,C,UN,T,PT,2.658
126,2007,2,C,UN,T,PV,0.541
127,2007,2,C,UN,T,S,2.991
128,2007,2,C,UN,T,V,0.033
129,2007,2,D,UN,T,API,0.386
130,2007,2,D,UN,T,EV,0.328
131,2007,2,D,UN,T,F1,0.032
132,2007,2,D,UN,T,F17,0.082
133,2007,2,D,UN,T,F8,1.477
134,2007,2,D,UN,T,G2,0.936
135,2007,2,D,UN,T,G7,0.096
136,2007,2,D,UN,T,J,1.991
137,2007,2,D,UN,T,PAN,1.93
138,2007,2,D,UN,T,PASP,2.003
139,2007,2,D,UN,T,PL ,0.263
140,2007,2,D,UN,T,PV,0.177
141,2007,2,D,UN,T,S,3.621
142,2007,2,D,UN,T,V,1.834
143,2007,2,E,UN,T,BOX,0.268
144,2007,2,E,UN,T,EV,4.66
145,2007,2,E,UN,T,F1,0.01
146,2007,2,E,UN,T,F2 ,0.721
147,2007,2,E,UN,T,F4,0.18
148,2007,2,E,UN,T,F5,0.121
149,2007,2,E,UN,T,G1,0.177
150,2007,2,E,UN,T,G7,0.036
151,2007,2,E,UN,T,LA,1.322
152,2007,2,E,UN,T,MERC,0.013
153,2007,2,E,UN,T,PAN,2.506
154,2007,2,E,UN,T,PASP,1.166
155,2007,2,E,UN,T,PV,0.736
156,2007,2,E,UN,T,S,1.718
157,2007,2,E,UN,T,SEN,6.389
158,2007,2,E,UN,T,STJ,0.03
159,2007,2,E,UN,T,V,2.367
160,2007,2,F,UN,T,API,0.063
161,2007,2,F,UN,T,AST,6.24
162,2007,2,F,UN,T,BOX,1.149
163,2007,2,F,UN,T,EV,0.875
164,2007,2,F,UN,T,F1,0.039
165,2007,2,F,UN,T,F2,0.245
166,2007,2,F,UN,T,F2P,0.141
167,2007,2,F,UN,T,F4,0.188
168,2007,2,F,UN,T,G14,0.669
169,2007,2,F,UN,T,HPASP,0.772
170,2007,2,F,UN,T,J,0.352
171,2007,2,F,UN,T,LA,0.258
172,2007,2,F,UN,T,MERC,0.01
173,2007,2,F,UN,T,OX,0.005
174,2007,2,F,UN,T,PAN,2.907
175,2007,2,F,UN,T,PASP,4.587
176,2007,2,F,UN,T,PC,0.782
177,2007,2,F,UN,T,PL,3.022
178,2007,2,F,UN,T,PV,0.626
179,2007,2,F,UN,T,S,2.191
180,2007,2,F,UN,T,SET,0.412
181,2007,2,F,UN,T,SYC,0.085
182,2007,2,F,UN,T,V,0.62
183,2007,3,A,UN,T,BOX,0.272
184,2007,3,A,UN,T,CORNUS,1.516
185,2007,3,A,UN,T,ER,0.313
186,2007,3,A,UN,T,F1,0.019
187,2007,3,A,UN,T,F25,0.073
188,2007,3,A,UN,T,F3,0.027
189,2007,3,A,UN,T,G2,0.071
190,2007,3,A,UN,T,G5,0.096
191,2007,3,A,UN,T,J,0.859
192,2007,3,A,UN,T,LA,5.403
193,2007,3,A,UN,T,PAN,0.472
194,2007,3,A,UN,T,PASP,0.159
195,2007,3,A,UN,T,PT,0.926
196,2007,3,A,UN,T,PV,0.029
197,2007,3,A,UN,T,S,0.759
198,2007,3,A,UN,T,S2,0.387
199,2007,3,A,UN,T,SEN,4.661
200,2007,3,A,UN,T,V,0.311
201,2007,3,B,UN,T,ASC,0.25
202,2007,3,B,UN,T,BOX,0.393
203,2007,3,B,UN,T,ER,0.459
204,2007,3,B,UN,T,EV,2.773
205,2007,3,B,UN,T,F1,0.012
206,2007,3,B,UN,T,F17,0.005
207,2007,3,B,UN,T,F18,0.186
208,2007,3,B,UN,T,G14,1.666
209,2007,3,B,UN,T,G2,0.484
210,2007,3,B,UN,T,G5,0.008
211,2007,3,B,UN,T,G7,0.584
212,2007,3,B,UN,T,HPASP,0.966
213,2007,3,B,UN,T,J,0.532
214,2007,3,B,UN,T,LA,6.122
215,2007,3,B,UN,T,LN,0.074
216,2007,3,B,UN,T,PAN,4.717
217,2007,3,B,UN,T,PASP,3.195
218,2007,3,B,UN,T,PL,0.009
219,2007,3,B,UN,T,PQ,0.121
220,2007,3,B,UN,T,PT,3.851
221,2007,3,B,UN,T,PV,0.029
222,2007,3,B,UN,T,S,5.381
223,2007,3,B,UN,T,S2,0.935
