"Exp","Year","Field","Plot","NTrt","NAdd","NitrAdd","NAtm.NAdd","Species","Biomass"
1,1992,"D",1,1,0,0,1,"Ambrosia sp.",2
1,1992,"D",1,1,0,0,1,"Erigeron canadensis",0.5
1,1992,"D",1,1,0,0,1,"Euthamia graminifolia",0.133
1,1992,"D",1,1,0,0,1,"Lithospermum caroliniense",4.6
1,1992,"D",1,1,0,0,1,"Panicum oligosanthes",13.667
1,1992,"D",1,1,0,0,1,"Poa pratensis",1.8
1,1992,"D",1,1,0,0,1,"Rosa arkansana",7.633
1,1992,"D",1,1,0,0,1,"Sorghastrum nutans",79.233
1,1992,"D",1,1,0,0,1,"Stipa spartea",5.833
1,1992,"D",1,1,0,0,1,"Viola sagittata",0.021
1,1992,"D",2,9,0,0,1,"Ambrosia sp.",0.4
1,1992,"D",2,9,0,0,1,"Artemisia ludoviciana",2.333
1,1992,"D",2,9,0,0,1,"Asclepias tuberosa",6.167
1,1992,"D",2,9,0,0,1,"Eragrostis spectabilis",6.767
1,1992,"D",2,9,0,0,1,"Erigeron canadensis",2
1,1992,"D",2,9,0,0,1,"Euphorbia corollata",11
1,1992,"D",2,9,0,0,1,"Helianthemum bicknellii",0.433
1,1992,"D",2,9,0,0,1,"Lathyrus venosus",5.4
1,1992,"D",2,9,0,0,1,"Lespedeza capitata",8.433
1,1992,"D",2,9,0,0,1,"Liatris aspera",0.433
1,1992,"D",2,9,0,0,1,"Mirabilis hirsuta",0.2
1,1992,"D",2,9,0,0,1,"Panicum perlongum",0.433
1,1992,"D",2,9,0,0,1,"Poa pratensis",6.633
1,1992,"D",2,9,0,0,1,"Ranunculus rhomboideus",0.6
1,1992,"D",2,9,0,0,1,"Rosa arkansana",0.867
1,1992,"D",2,9,0,0,1,"Rubus sp.",3.467
1,1992,"D",2,9,0,0,1,"Sorghastrum nutans",112.67
1,1992,"D",2,9,0,0,1,"Stipa spartea",1.567
1,1992,"D",2,9,0,0,1,"Tradescantia occidentalis",1.033
1,1992,"D",2,9,0,0,1,"Viola pedatifida",0.067
1,1992,"D",3,7,17,50,18,"Ambrosia sp.",1.633
1,1992,"D",3,7,17,50,18,"Andropogon gerardi",57.833
1,1992,"D",3,7,17,50,18,"Calamagrostis canadensis",237.2
1,1992,"D",3,7,17,50,18,"Campanula rotundifolia",0.067
